topic,theme,area,learning_objective 
Web GIS Programming,Platform Specific Programming,programming and development,"List commonly used computer languages used in web GIS programming, and briefly explain how, when and why these are used."
Python for GIS,Programming Languages & Libraries,programming and development,Describe the role of programming in GIScience.
Python for GIS,Programming Languages & Libraries,programming and development,Explain the different Python GIS development modes.
Python for GIS,Programming Languages & Libraries,programming and development,Demonstrate familiarity with the current Python GIS Programming Stack.
Python for GIS,Programming Languages & Libraries,programming and development,What are the two main models of developing for GIS using Python?
Python for GIS,Programming Languages & Libraries,programming and development,Describe the use cases for Python programming in GIScience.
Python for GIS,Programming Languages & Libraries,programming and development,Discuss the coverage of the GIScience processing and analysis stack in the Python ecosystem.
SQL Languages for GIS,Programming Languages & Libraries,programming and development,Explain the difference between declarative and procedural programming languages.
SQL Languages for GIS,Programming Languages & Libraries,programming and development,Explain the use of views in spatial data management.
SQL Languages for GIS,Programming Languages & Libraries,programming and development,Describe how to automate the calculation of derived data.
SQL Languages for GIS,Programming Languages & Libraries,programming and development,Plan and implement typical spatial analyses in SQL.
SQL Languages for GIS,Programming Languages & Libraries,programming and development,Create a SQL query that finds all points within a specified distance of a specified feature.
SQL Languages for GIS,Programming Languages & Libraries,programming and development,Create a SQL query that finds features with invalid geometries and moves them to a separate table.
Aerial Photography,Digital Data Sources & Capture Methods,data capture,Describe the differences between oblique and vertical aerial photographs.
Aerial Photography,Digital Data Sources & Capture Methods,data capture,Identify the historical developments related to the field of aerial photography.
Aerial Photography,Digital Data Sources & Capture Methods,data capture,Explain the various distortions found in vertical aerial photographs.
Aerial Photography,Digital Data Sources & Capture Methods,data capture,Explain about why aerial photographs are orthorectified.
Aerial Photography,Digital Data Sources & Capture Methods,data capture,Describe the process of accurately placing vector attribute information on an aerial photograph or a satellite image.
Aerial Photography,Digital Data Sources & Capture Methods,data capture,How do orthorectified versus non-orthorectified aerial photos differ?
Aerial Photography,Digital Data Sources & Capture Methods,data capture,What types of problems would be created if property lines were superimposed on non-orthorectified aerial photographs?  How would you remedy the situation?
Aerial Photography,Digital Data Sources & Capture Methods,data capture,"The image below shows downtown Oneonta, New York. The vertical aerial photograph was taken in 1937 and was used to create the 1942 USGS topography map. The green arrow on the photograph is pointing to the childhood home of Sherman Mills Fairchild, one of the pioneers in the field of aerial photography and photogrammetry. This exercise is to determine the scale of the photograph. The map scale is 1:24000, a representative fractional (RF). The RF describes the ratio between the map and the Earth’s surface. For example, 1 inch on the map equals 24,000 inches on the land surface. The red dot on the photo is the principal point. It is best to determine the scale by taking measurements in the middle of the photo where the least amount of distortion exists. The yellow line on the map is .5 inches and the corresponding line on the photo is .75 inches; thus, the lines appear larger than the measurements taken from the original map and photo. To calculate the photo scale first multiply the map distance (.5) by the surface scale (24000) and then divide the results by the photo distance (.75). The photo scale should be 1:16000. Calculating the scale of an aerial photograph is a basic photogrammetric technique. The photo scale is larger than the map scale, and thereby, should provide more information. Repeat this process by selecting another aerial photo and matching map."
Aerial Photography,Digital Data Sources & Capture Methods,data capture,"Be a detective and determine what airphoto collections exist in your state or political region and if any of the photos cover your community. If possible, one might find a series of photos taken of the same area but at different dates. Look for changes in land cover over time."
Aerial Photography,Digital Data Sources & Capture Methods,data capture,"Would the figure below be considered 1) a low oblique, 2) a high oblique, or 3) vertical aerial photography? How was the answer to this question determined? Is this photography likely to be orthorectified?"
Mission planning,Remote Sensing Platforms & Sensors,data capture,"Plan an aerial imagery mission in response to a given request for proposals and map of a study area, taking into consideration vertical and horizontal control, atmospheric conditions, time of year, and time of day"
LiDAR,Remote Sensing Platforms & Sensors,data capture,Describe the science and math behind LiDAR technology.
LiDAR,Remote Sensing Platforms & Sensors,data capture,Explain the information that each LiDAR data point contains.
LiDAR,Remote Sensing Platforms & Sensors,data capture,"Explain the derivatives of LiDAR: slope, aspect, and contour and discuss their strengths and limitations."
LiDAR,Remote Sensing Platforms & Sensors,data capture,Describe two means of visualizing LiDAR.
LiDAR,Remote Sensing Platforms & Sensors,data capture,"Using the formula Distance = velocity X time, explain how LiDAR data are captured."
LiDAR,Remote Sensing Platforms & Sensors,data capture,Draw a model of an airborne vehicle capturing LiDAR points. Label the key components of collection.
LiDAR,Remote Sensing Platforms & Sensors,data capture,Each LiDAR data point carries a variety of information. List and describe the data contained.
LiDAR,Remote Sensing Platforms & Sensors,data capture,Define a DEM and a DSM and explain how elevation is obtained using the two models.
LiDAR,Remote Sensing Platforms & Sensors,data capture,Discuss three ways to visualize LiDAR.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Define UAS.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Summarize the predominant UAS platform types.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Understand the requirements for legal operation of UAS for data collection purposes.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Describe how to execute a successful UAS data capture mission.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,List commonly used sensors for capturing remote sensed data via UAS.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Describe a common data workflow for UAS-collected aerial imagery.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Acquire knowledge of how UAS technology is applied in geospatial research.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Understand the societal issues surrounding UAS data capture.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,How does GIS&T benefit from the incorporation of UAS technology? Be specific about the benefits of spatial and temporal data resolution.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Identify the two UAS platform types and describe the strengths/weaknesses of each platform regarding their ability to collect data.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,You would like to acquire terrain data for a small (~0.5 ha) open area in a rural location.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,What type of UAS would you require? Why?
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,What sensor(s) would you utilize?
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Describe your mission plan.
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,What legal regulations must you consider before you fly?
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,How are UAS-captured aerial images processed to generate geospatial data?
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,What is Structure from Motion?
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,What data products can be produced from UAS-captured imagery?
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,How are UAS-acquired data properly georeferenced?
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,Discuss two geospatial applications of UAS technology. Why is the integration of UAS technology especially beneficial to these application areas?
Unmanned Aerial Systems (UAS),Remote Sensing Platforms & Sensors,data capture,"Regarding the adoption of UAS as a data collection platform, describe a societal challenge facing civilian usage of UAS."
Stereoscopy and orthoimagery,Processing Remotely-Sensed Data,data capture,Explain the relevance of the concept “parallax” in stereoscopic aerial imagery
Stereoscopy and orthoimagery,Processing Remotely-Sensed Data,data capture,Evaluate the advantages and disadvantages of photogrammetric methods and LiDAR for production of terrain elevation data
Stereoscopy and orthoimagery,Processing Remotely-Sensed Data,data capture,Specify the technical components of an aerotriangulation system
Stereoscopy and orthoimagery,Processing Remotely-Sensed Data,data capture,Outline the sequence of tasks involved in generating an orthoimage from a vertical aerial photograph
Vector data extraction,Processing Remotely-Sensed Data,data capture,"Describe the source data, instrumentation, and workflow involved in extracting vector data (features and elevations) from analog and digital stereoimagery"
Vector data extraction,Processing Remotely-Sensed Data,data capture,Discuss future prospects for automated feature extraction from aerial imagery
Vector data extraction,Processing Remotely-Sensed Data,data capture,Discuss the extent to which vector data extraction from aerial stereoimagery has been automated
Algorithms and processing,Processing Remotely-Sensed Data,data capture,Differentiate supervised classification from unsupervised classification
Algorithms and processing,Processing Remotely-Sensed Data,data capture,Describe the sequence of tasks involved in the geometric correction of the Advanced Very High Resolution Radiometer (AVHRR) Global Land Dataset
Algorithms and processing,Processing Remotely-Sensed Data,data capture,Compare pixel-based image classification methods with segmentation techniques
Algorithms and processing,Processing Remotely-Sensed Data,data capture,Explain how to enhance contrast of reflectance values clustered within a narrow band of wavelengths
Algorithms and processing,Processing Remotely-Sensed Data,data capture,Describe an application of hyperspectral image data
Algorithms and processing,Processing Remotely-Sensed Data,data capture,"Produce pseudocode for common unsupervised classification algorithms, including chain method, ISODATA method, and clustering"
Algorithms and processing,Processing Remotely-Sensed Data,data capture,Calculate a set of filtered reflectance values for a given array of reflectance values and a digital image filtering algorithm
Algorithms and processing,Processing Remotely-Sensed Data,data capture,Describe a situation in which filtered data are more useful than the original unfiltered data
Algorithms and processing,Processing Remotely-Sensed Data,data capture,Perform a manual unsupervised classification given a two-dimensional array of reflectance values and ranges of reflectance values associated with a given number of land cover categories
Ground verification and accuracy assessment,Processing Remotely-Sensed Data,data capture,Evaluate the thematic accuracy of a given soils map
Ground verification and accuracy assessment,Processing Remotely-Sensed Data,data capture,Explain how U.S. Geological Survey scientists and contractors assess the accuracy of the National Land Cover Dataset
Professional Land Surveying,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Describe why surveying plays a central role in free markets.
Professional Land Surveying,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Explain connections between surveying and GIS.
Professional Land Surveying,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Compare and contrast two types of equipment that a surveyor uses. Explain why each is useful for particular tasks.
Professional Land Surveying,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Identify at least 3 pieces of equipment that a surveyor uses.
Professional Land Surveying,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Name one connection between surveying and GIS.
Professional Land Surveying,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Name one way in which surveying is important in legal cases.
Professional Land Surveying,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Name two ways in which surveying has changed over the past 100 years.
Professional Land Surveying,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Name two ways in which surveying has stayed the same over the past 100 years.
Land records,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,"Distinguish between GIS, LIS, and CAD/CAM in the context of land records management"
Land records,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Evaluate the difference in accuracy requirements for deeds systems versus registration systems
Land records,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Exemplify and compare deed descriptions in terms of how accurately they convey the geometry of a parcel
Land records,Land Surveying and Global Navigation Satellite Systems (GNSS),data capture,Distinguish between topological fidelity and geometric accuracy in the context of a plat map
Conceptual Data Models,Spatial Databases,Data management,Define conceptual data model.
Conceptual Data Models,Spatial Databases,Data management,Describe the purpose of a conceptual data model.
Conceptual Data Models,Spatial Databases,Data management,"Characterize the entity, attribute, and relationship components of a conceptual data model."
Conceptual Data Models,Spatial Databases,Data management,Develop (Sketch) a conceptual data model using an entity-relationship diagram.
Conceptual Data Models,Spatial Databases,Data management,Distinguish between use cases and conceptual data models; describe how they can work together.
Conceptual Data Models,Spatial Databases,Data management,Discuss how a conceptual data model characterizes information requirements for an application.
Conceptual Data Models,Spatial Databases,Data management,Describe the relationship between an application-centric conceptual data model and a enterprise-wide conceptual data model.
Conceptual Data Models,Spatial Databases,Data management,"How do the two major views on the fundamentals of a data model differ? Although they differ, why are they compatible?"
Conceptual Data Models,Spatial Databases,Data management,What is the relationship between data modeling and a conceptual data model?
Conceptual Data Models,Spatial Databases,Data management,Why is development of a conceptual data model useful when first outlining a geospatial application within an information system context?
Conceptual Data Models,Spatial Databases,Data management,"How can a conceptual data model help with already existing applications, but when documentation is not readily available?"
Conceptual Data Models,Spatial Databases,Data management,"Why is it advantageous to use simple, but rigorous, notation for developing conceptual data model diagrams?"
Conceptual Data Models,Spatial Databases,Data management,How can use cases be used with conceptual data models to outline the requirements for information processing?
Conceptual Data Models,Spatial Databases,Data management,How might we use conceptual data models to foster development of an enterprise GIS approach?
Logical Data Models,Spatial Databases,Data management,Define logical data model.
Logical Data Models,Spatial Databases,Data management,Describe the purpose of a logical data model.
Logical Data Models,Spatial Databases,Data management,Differentiate logical data model approaches.
Logical Data Models,Spatial Databases,Data management,Develop the basics of a logical data model diagram.
Logical Data Models,Spatial Databases,Data management,Describe how activity diagrams can supplement logical data models to further characterize logical data organization in a logical data model.
Logical Data Models,Spatial Databases,Data management,"Describe how an application-centric logical data model differs from an enterprise-wide logical data model, and how logical data schema integration can support development of an enterprise-wide data model."
Logical Data Models,Spatial Databases,Data management,Differentiate between a data warehouse and a federated database in support of applications for an enterprise-wide database environment.
Logical Data Models,Spatial Databases,Data management,Characterize the difference between a conceptual data model and a logical data model. Why would database designers need both?
Logical Data Models,Spatial Databases,Data management,Why is the term ‘logical’ used for logical data modeling? Consider the focus on logical data modeling is to specify formal techniques for organizing data in a database. What kind of logic underpins formal techniques for organizing data?
Logical Data Models,Spatial Databases,Data management,Why is development of a logical data model useful for continuing to deepen the design of a database for an application?
Logical Data Models,Spatial Databases,Data management,How many logical data models could/should be associated with an application? Why?
Logical Data Models,Spatial Databases,Data management,Why is it advantageous to minimize the number of logical data models for addressing applications across an organization or even multiple organizations?
Logical Data Models,Spatial Databases,Data management,How would you use schema integration to reduce the number of logical data models for an enterprise database environment?
Logical Data Models,Spatial Databases,Data management,Why pursue a data warehouse approach to enterprise data management versus a federated database approach to enterprise data management? Is it really an either or choice between them? Why or why not?
Physical Data Models,Spatial Databases,Data management,Define physical data model.
Physical Data Models,Spatial Databases,Data management,Describe the purpose of a physical data model.
Physical Data Models,Spatial Databases,Data management,Describe how a physical data model differs from a logical data model in terms of software implementation.
Physical Data Models,Spatial Databases,Data management,Develop a physical data model diagram.
Physical Data Models,Spatial Databases,Data management,Differentiate physical data models based on their logical data model approaches.
Physical Data Models,Spatial Databases,Data management,Characterize data types and indexing for physical data models.
Physical Data Models,Spatial Databases,Data management,List some of the most popular DBMS software that can be used for geospatial implementation.
Physical Data Models,Spatial Databases,Data management,"Characterize the difference between a conceptual data model, logical data model, and physical data model. Why would database designers need all three for undertaking development of databases?"
Physical Data Models,Spatial Databases,Data management,Why is the term ‘physical’ used for physical data modeling? In what sense does the use of the term physical make sense and what sense does it not make sense?
Physical Data Models,Spatial Databases,Data management,How might a variety of approaches to development of a physical data model be advantageous to the GIS industry?
Physical Data Models,Spatial Databases,Data management,How many physical data models could/should be associated with an application? Why?
Physical Data Models,Spatial Databases,Data management,What is the advantage of having fewer physical data models implemented within a GIS environment than more?
Physical Data Models,Spatial Databases,Data management,Why might it be advantageous for a DBMS to be compliant with open geospatial consortium simple feature geometry?
Physical Data Models,Spatial Databases,Data management,How many of the top-ranked DBMS support geospatial data types? Why might some DBMS not support geospatial data types?
NoSQL Databases,Spatial Databases,Data management,Explain the meaning behind the name NoSQL database.
NoSQL Databases,Spatial Databases,Data management,Describe the four types of store models NoSQL databases.
NoSQL Databases,Spatial Databases,Data management,Compare and contrast the major differences between NoSQL and relational databases.
NoSQL Databases,Spatial Databases,Data management,"Explain the advantages in using NoSQL database to store spatial data, especially big spatial data."
NoSQL Databases,Spatial Databases,Data management,What is a NoSQL database and what are its store models?
NoSQL Databases,Spatial Databases,Data management,"Why are NoSQL databases advantageous over other database types, such as a relational database?"
NoSQL Databases,Spatial Databases,Data management,Why might a NoSQL database be a better choice for storing big spatial data?
Geospatial Data Conflation,Spatial Databases,Data management,Define the concept of conflation and what kind of context it is used.
Geospatial Data Conflation,Spatial Databases,Data management,Describe the basic types of conflation problems.
Geospatial Data Conflation,Spatial Databases,Data management,Understand the cardinality of match relation.
Geospatial Data Conflation,Spatial Databases,Data management,Understand the different criteria used for conflating geospatial features.
Geospatial Data Conflation,Spatial Databases,Data management,Implement basic conflation operator using buffer analysis and overlay operation.
Geospatial Data Conflation,Spatial Databases,Data management,Explain the difference between manual and automatic conflation.
Geospatial Data Conflation,Spatial Databases,Data management,"Compare conflation with spatial join, image fusion and other related operations for data integration."
Geospatial Data Conflation,Spatial Databases,Data management,What is conflation? Give an example of GIS application that would require conflation.
Geospatial Data Conflation,Spatial Databases,Data management,What are the advantages and disadvantages of automated conflation compared with manual conflation?
Geospatial Data Conflation,Spatial Databases,Data management,"Obtain two road network datasets from different sources, and try to write a SQL statement to join corresponding streets using street names."
Geospatial Data Conflation,Spatial Databases,Data management,Write a SQL statement (or a GUI interface of a GIS package) to match corresponding road features based on buffer and overlay analysis.
Geospatial Data Conflation,Spatial Databases,Data management,List the different criteria that can be used to match corresponding features.
Geospatial Data Conflation,Spatial Databases,Data management,What are corresponding features? What is the cardinality of match relation?
Geospatial Data Conflation,Spatial Databases,Data management,What are the differences between conflation and spatial join?
Spatial Indexing,Spatial Access Methods,Data management,Define the concept of a spatial index and what kind of spatial operations it is related to.
Spatial Indexing,Spatial Access Methods,Data management,Describe the basic category of spatial index and name some common data structures of spatial databases.
Spatial Indexing,Spatial Access Methods,Data management,Demonstrate how different data structures works for spatial queries and spatial join.
Spatial Indexing,Spatial Access Methods,Data management,Understand how to build spatial indexes in both commercial and open-source databases and be aware of what the strategies they use.
Spatial Indexing,Spatial Access Methods,Data management,Implement point query or window query algorithms that retrieve geospatial data using basic index structures
Spatial Indexing,Spatial Access Methods,Data management,Compare and discuss the relative performance of different spatial indices.
Spatial Indexing,Spatial Access Methods,Data management,List the categories of spatial index and some common data structures for each category.
Spatial Indexing,Spatial Access Methods,Data management,What is the MBR of a spatial object and how do you represent it?
Spatial Indexing,Spatial Access Methods,Data management,"Using 2017 TIGER national geodatasets, build a SELECT test with and without a spatial index."
Spatial Indexing,Spatial Access Methods,Data management,What is the difference between space-driven structures and data-driven structures?
Spatial Indexing,Spatial Access Methods,Data management,In what scenarios would the grid index for spatial objects be useful?
Spatial Indexing,Spatial Access Methods,Data management,"What are space-filling curves and what’s the geohash for a certain point, for example (30.275320, 120.141915)?"
Spatial Indexing,Spatial Access Methods,Data management,List three variants of the R-tree family and briefly describe its improvements.
Spatial Indexing,Spatial Access Methods,Data management,List the cost factors when comparing different spatial indices.
Spatial Data Uncertainty,Spatial Data Quality,Data management,"Define spatial data uncertainty, quality, accuracy, error, and geo-semantic uncertainty."
Spatial Data Uncertainty,Spatial Data Quality,Data management,Explain the importance of spatial data uncertainty.
Spatial Data Uncertainty,Spatial Data Quality,Data management,Describe major methods to evaluate positional and attribute uncertainty.
Spatial Data Uncertainty,Spatial Data Quality,Data management,Describe major methods to evaluate geo-semantic uncertainty.
Spatial Data Uncertainty,Spatial Data Quality,Data management,Discuss possible methods to evaluate uncertainty of crowd-sourced geographic data.
Spatial Data Uncertainty,Spatial Data Quality,Data management,Why is it important to understand uncertainty in geographic data?
Spatial Data Uncertainty,Spatial Data Quality,Data management,What are the two major categories of approaches to quantify positional uncertainty? What is an error ellipse model? What is the role of Monte Carlo simulation in studying spatial data uncertainty? What are the major steps of Monte Carlo simulation?
Spatial Data Uncertainty,Spatial Data Quality,Data management,What is an error matrix? How is it used in assessing attribute uncertainty?
Spatial Data Uncertainty,Spatial Data Quality,Data management,"What are the two major lines of research in examining vague geographic concepts, such as downtown? What is a fuzzy set? How is it used in studying geo-semantic uncertainty?"
Spatial Data Uncertainty,Spatial Data Quality,Data management,What are the four possible methods for evaluating quality of crowd-sourced geographic data?
Vagueness,Spatial Data Quality,Data management,"Compare and contrast the meanings of related terms such as vague, fuzzy, imprecise, indefinite, indiscrete, unclear, and ambiguous"
Vagueness,Spatial Data Quality,Data management,Describe the cognitive processes that tend to create vagueness
Vagueness,Spatial Data Quality,Data management,Recognize the degree to which vagueness depends on scale
Vagueness,Spatial Data Quality,Data management,"Evaluate vagueness in the locations, time, attributes, and other aspects of geographic phenomena"
Vagueness,Spatial Data Quality,Data management,"Differentiate between the following concepts: vagueness and ambiguity, well defined and poorly defined objects and fields, and discord and non-specificity"
Vagueness,Spatial Data Quality,Data management,Identify the hedges used in language to convey vagueness
Vagueness,Spatial Data Quality,Data management,"Evaluate the role that system complexity, dynamic processes, and subjectivity play in the creation of vague phenomena and concepts"
Vagueness,Spatial Data Quality,Data management,Differentiate applications in which vagueness is an acceptable trait from those in which it is unacceptable
Linear Referencing,Georeferencing Systems,Data management,Define linear referencing
Linear Referencing,Georeferencing Systems,Data management,Summarize the process of implementing linear referencing
Linear Referencing,Georeferencing Systems,Data management,Identify applications of linear referencing
Linear Referencing,Georeferencing Systems,Data management,Describe practical examples of analysis with linear referencing
Linear Referencing,Georeferencing Systems,Data management,What is linear referencing?
Linear Referencing,Georeferencing Systems,Data management,Why might a pipeline maintenance contractor use a linear referencing system?
Linear Referencing,Georeferencing Systems,Data management,Describe how linear referencing might be used in the underlying street data used by vehicle navigation systems.
Georegistration,Georeferencing Systems,Data management,Differentiate rectification and orthorectification
Georegistration,Georeferencing Systems,Data management,Identify and explain an equation used to perform image-to-map registration
Georegistration,Georeferencing Systems,Data management,Identify and explain an equation used to perform image-to-image registration
Georegistration,Georeferencing Systems,Data management,"Use GIS software to transform a given dataset to a specified coordinate system, projection, and datum"
Georegistration,Georeferencing Systems,Data management,Explain the role and selection criteria for “ground control points” (GCPs) in the georegistration of aerial imagery
Map Projections,Georeferencing Systems,Data management,Describe the geometric properties of the globe that may be distorted in the map projection process.
Map Projections,Georeferencing Systems,Data management,"Describe at least one technique for visualizing distortion (e.g.,  Tissot’s indicatrices, or continuous distortion surfaces) and use it to visualize distortion."
Map Projections,Georeferencing Systems,Data management,"Identify and describe the distortion pattern in a specific map projection using a common visualization method (e.g., Tissot’s indicatrices) or distortion surface."
Map Projections,Georeferencing Systems,Data management,"Compare multiple map projections to explain the difference in distortion patterns, and how the maps would be suited for different analysis or visualization purposes."
Map Projections,Georeferencing Systems,Data management,Design a thematic map that uses a map projection appropriate to the theme and map purpose.
Map Projections,Georeferencing Systems,Data management,What is a developable surface? Is this how map projections are actually calculated? Describe the difference between the concept of developable surfaces and the mathematical transformations used for map projection.
Map Projections,Georeferencing Systems,Data management,"Describe the differences between an equal area, conformal, and compromise projection. Provide an example of a mapping problem that would be best suited for each type of projection."
Map Projections,Georeferencing Systems,Data management,Why should a cartographer or GIS analyst be concerned about the map projection of the dataset when performing spatial analysis?  When preparing a map for visual communication of spatial patterns?
Map Projections,Georeferencing Systems,Data management,"When selecting a projection based on property (equal area, conformal, etc.), what aesthetic considerations guide the final selection of a map projection with the desired property?"
Map Projections,Georeferencing Systems,Data management,What are the projection-related trade-offs that a web map designer must face when working with tiled map services?
Map Projections,Georeferencing Systems,Data management,Why is it impossible to preserve both area and angular measurements in a planar map projection?
Metadata,Spatial Data Infrastructures,Data management,"Describe a scenario in which possible errors in a map may impact subsequent decision making, such as a land use decision based on a soils map"
Metadata,Spatial Data Infrastructures,Data management,Evaluate the uncertainty inherent in a map
Metadata,Spatial Data Infrastructures,Data management,"Compare the decisions made using a map with a reliability overlay from those made using a map pair separating data and reliability, both drawn from the same dataset"
Metadata,Spatial Data Infrastructures,Data management,Critique the assumption that maps can or should be “accurate”
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,Define spatial data infrastructure.
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,Describe the major components of a typical SDI.
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,Describe the main functions of geoportals.
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,"Define metadata, and describe the types of information that may be included in metadata."
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,Differentiate text-based search and map-based search.
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,List some of the widely-recognized SDIs.
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,Describe the role of standards in ensuring the quality of metadata.
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,What are the societal benefits of spatial data infrastructures? In which aspects can SDIs improve the sharing and reusing of geospatial data and services?
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,What are the advantages and disadvantages of text-based and map-based searches? What are the differences between keyword-based and semantic searches?
Spatial Data Infrastructures,Spatial Data Infrastructures,Data management,How can metadata benefit the understanding and use of geospatial data and services? How can metadata facilitate the search and discovery of digital geospatial resources?
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,Explain the concepts of geospatial semantic interoperability
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,"Define and describe the concepts of ontology, ontological languages, and ontological queries"
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,Present the challenges of building ontologies
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,Introduce issues for geospatial semantic interoperability and challenges for geospatial semantic interoperability using ontologies
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,What are the major issues for geospatial semantic interoperability?
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,What is an ontology? Why do we need ontologies?
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,What is a geospatial ontology?
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,What are the main languages for creating ontologies?
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,What are the main languages for ontology query or geospatial ontology queries?
Ontology for Geospatial Semantic Interoperability,Spatial Data Infrastructures,Data management,What are the challenges to achieving the goal of geospatial semantic interoperability using ontology?
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,"Describe the complexity and uncertainty in neighborhood definition, incorporating the idea of no consensus definition to fit all contexts."
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,"Explain the three typical neighborhood definitions in the context of computational geometry, administration and planning, and urban geography."
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,"Within the context of computational geometry, provide key neighborhood concepts for vector (point and polygon) and raster data using the most commonly used methods such as Rook Neighbors, Queen Neighbors, Thiessen polygons, Delaunay triangulations, and local, focal, zonal and global functions."
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,"Within the context of urban geography, explain neighborhood and community as social clusters."
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,"Within the context of health research, explain the needs, considerations, and use of neighborhoods to characterize social and environmental determinants of health."
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,What are Rook Neighbors and Queen Neighbors for polygons?
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,What are Thiessen Polygons and Delaunay Triangulations?  How can one use them to define neighbors for a set of points? What are first-order and second-order neighbors?  List a couple of variations of point neighborhoods using methods other than the basic Thiessen polygons.
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,Could neighborhood be a real and tangible administration unit?  Please list some examples.
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,Are neighborhoods and communities the same?  How can neighborhoods be defined in an urban setting? Please name a couple of neighborhoods in the U.S. that are defined in this urban geography context.
Neighborhoods,Conceptual Frameworks for Spatial Analysis & Modeling,analytics and modeling,What does neighborhood effect mean in health research?
